cop	file	repository	revision	source_path
Layout/EmptyLineAfterMagicComment	emacs_magic_comment.rb	mastodon/mastodon	60593f6a8de11effdcf0a0dcb40e22115ae9361a	config/initializers/json_ld_cid.rb
Lint/DuplicateSetElement	percent_symbol_set.rb	gitlabhq/gitlabhq	67a526442c20d20b6e80ebf916bd766b54018c5e	spec/lib/gitlab/database/gitlab_schema_spec.rb
Lint/MixedRegexpCaptureTypes	extended_regexp_comments.rb	gitlabhq/gitlabhq	67a526442c20d20b6e80ebf916bd766b54018c5e	lib/gitlab/diff/pair_selector.rb
Lint/OrderedMagicComments	heredoc_magic_comment.rb	gitlabhq/gitlabhq	67a526442c20d20b6e80ebf916bd766b54018c5e	spec/lib/banzai/filter/front_matter_filter_spec.rb
Metrics/CollectionLiteralLength	keyword_hash_collection.rb	gitlabhq/gitlabhq	67a526442c20d20b6e80ebf916bd766b54018c5e	spec/models/application_setting_spec.rb
Style/DirEmpty	nested_dir_empty.rb	rails/rails	ba4f7369aee71f9f38d67bdbf0e8571fb372b535	activesupport/lib/active_support/cache/file_store.rb
Style/EnvHome	assigned_env_home.rb	rails/rails	ba4f7369aee71f9f38d67bdbf0e8571fb372b535	railties/lib/rails/commands/console/irb_console.rb
Style/FileEmpty	nonempty_file_size.rb	discourse/discourse	cec79c60b354e37e9a119544860123b122a995e0	lib/file_store/local_store.rb
Style/FileOpen	discarded_file_open.rb	rails/rails	ba4f7369aee71f9f38d67bdbf0e8571fb372b535	railties/test/application/rake/log_test.rb
Style/MapCompactWithConditionalBlock	explicit_nil_filter_map.rb	gitlabhq/gitlabhq	67a526442c20d20b6e80ebf916bd766b54018c5e	lib/gitlab/reflections/relationships/transformers/validate.rb
Style/MapToSet	non_symbol_block_pass_to_set.rb	gitlabhq/gitlabhq	67a526442c20d20b6e80ebf916bd766b54018c5e	lib/gitlab/sidekiq_config/worker_matcher.rb
Style/MultilineIfModifier	single_line_block_on_multiline_receiver.rb	rails/rails	ba4f7369aee71f9f38d67bdbf0e8571fb372b535	activerecord/test/cases/serialized_attribute_test.rb
Style/MutableConstant	compact_frozen_magic_comment.rb	discourse/discourse	cec79c60b354e37e9a119544860123b122a995e0	plugins/discourse-ai/lib/agents/tools/setting_context.rb
Style/RedundantCapitalW	escaped_capital_word_array.rb	Homebrew/brew	44d5dd835c14c1beadd5b75c49835ae391cfd86b	Library/Homebrew/rubocops/shell_commands.rb
Style/RedundantSelfAssignmentBranch	ternary_self_assignment.rb	discourse/discourse	cec79c60b354e37e9a119544860123b122a995e0	plugins/discourse-ai/lib/completions/endpoints/aws_bedrock.rb
Layout/SpaceAroundMethodCallOperator	spaced_method_call_operator.rb	rails/rails	ba4f7369aee71f9f38d67bdbf0e8571fb372b535	railties/test/application/test_runner_test.rb
